"id","GPA","QI","act","male","race","age","fulltime","PellEligible","firstgen","major","ftfy","motivation","work"
1001,4,32,24,0,2,18,1,0,0,8,1,40,0
1002,2.33,54,15,0,2,18,1,0,0,6,1,40,0
1003,3.33,42,18,1,4,19,1,1,1,2,1,35,1
1004,3,60,17,1,2,18,1,0,0,8,1,60,0
1005,3,54,18,1,2,18,1,0,1,5,1,40,0
1006,3.67,38,25,1,2,18,1,0,1,8,1,20,0
1007,4,60,34,1,1,18,1,0,0,2,1,40,0
1008,4,54,34,1,1,18,1,0,0,3,1,55,0
1009,4,52,26,0,4,18,1,1,0,9,1,32.5,0
1010,3.67,40,24,0,4,18,1,0,0,2,1,32.5,1
1011,3,44,20,0,2,19,1,0,1,9,1,40,0
1012,4,60,24,0,5,18,1,0,0,5,1,40,1
1013,36.7,34,19,0,2,18,1,0,0,9,1,40,1
1014,4,40,31,0,4,18,1,0,0,4,1,42.5,0
1015,3.33,46,19,0,2,18,1,0,0,9,1,60,1
1016,2.33,24,33,0,6,19,1,0,1,4,0,57.5,0
1017,4,44,35,1,4,19,1,0,0,2,1,42.5,0
1018,3.67,50,23,1,1,20,1,0,1,8,1,37.1428571428571,0
1019,3.67,50,24,0,4,19,1,0,0,2,1,52.5,1
1020,2,32,26,1,4,19,1,0,0,8,1,15,1
1021,3.67,44,26,0,4,19,1,0,0,6,0,52.5,1
1022,4,44,31,1,4,17,1,0,0,8,1,35,0
1023,3,38,32,0,4,18,1,0,0,8,1,30,1
1024,2.67,50,21,1,2,19,1,0,0,1,0,37.5,1
1025,4,52.5,30,1,4,19,1,0,0,8,1,37.5,1
1026,4,40,29,0,4,18,1,0,0,1,1,20,1
1027,4,52,34,0,4,19,1,0,1,3,1,40,0
1028,3,46,22,0,3,19,1,0,1,3,0,32.5,1
1029,4,50,30,0,4,18,1,0,0,8,1,50,0
1030,3.33,32,24,1,5,20,0,0,0,8,0,40,0
1031,4,40,29,1,4,19,1,0,0,8,1,37.5,1
1032,4,20,27,0,4,18,1,0,0,8,1,30,0
1033,3.67,46,32,1,4,18,1,0,0,8,1,35,0
1034,4,54,33,0,5,18,1,0,0,2,1,55,1
1035,2.67,46,31,1,4,18,1,0,0,8,1,40,1
1036,4,36,25,1,4,18,1,0,0,5,1,32.5,0
1037,3.33,50,22,0,4,18,1,0,0,7,1,32.5,1
1038,3.67,46,32,0,4,18,1,0,0,8,1,40,1
1039,2.67,54,23,0,4,19,1,0,0,7,1,25,1
1040,3,55,24,1,4,20,1,1,0,8,0,57.5,0
1041,4,50,34,0,4,18,1,0,0,9,1,47.5,0
1042,4,32,32,0,4,18,1,0,0,5,1,20,0
1043,4,40,30,0,4,18,1,0,0,9,1,32.5,0
1044,3.33,6000,24,0,4,19,1,0,0,9,1,57.5,0
1045,3.67,46,28,1,4,18,1,0,0,2,1,47.5,0
1046,3.67,42,23,0,4,19,1,0,0,5,1,40,0
1047,3.67,48,30,0,4,19,1,0,0,4,1,30,0
1048,4,46,31,0,4,18,1,0,0,9,1,52.5,1
1049,2.33,35,31,1,4,19,1,0,0,5,1,25,0
1050,3,52,23,0,4,18,1,0,1,7,1,20,1
1051,3.67,6,31,1,4,19,1,11,0,2,1,12.5,1
1052,2.33,46,28,0,4,19,1,0,0,1,1,32.5,0
1053,2.67,60,26,1,4,18,1,0,0,8,1,27.5,0
1054,4,50,27,0,4,18,1,0,0,11,1,57.5,0
1055,4,2,27,0,4,19,1,0,1,9,1,25,0
1056,3.33,60,19,1,4,20,1,0,1,4,0,55,1
1057,2.67,40,20,0,4,20,1,1,1,9,0,35,1
1058,3.67,44,17,0,2,19,1,0,1,9,1,52.5,1
1059,2.67,36,22,0,4,18,1,1,1,2,1,50,1
1060,2,45,19,1,4,20,1,0,0,11,0,45,1
1061,1.67,46,18,0,5,20,1,0,1,2,1,25,0
1062,3.33,60,19,1,4,18,1,1,1,10,1,60,1
1063,3.67,60,18,0,4,18,1,0,1,9,1,37.5,1
1064,3.33,42.5,26,0,4,19,1,0,0,10,1,30,0
1065,4,44,28,0,4,18,1,0,1,4,1,35,0
1066,2.33,48,19,1,4,20,1,0,1,10,1,47.5,0
1067,3.67,60,24,0,4,19,1,0,1,9,1,47.5,1
1068,4,14,25,1,4,19,1,0,0,7,1,32.5,0
1069,2.33,34,23,1,4,18,1,0,0,10,1,17.5,0
1070,3.33,60,22,1,4,18,1,0,1,2,1,60,1
1071,3.33,44,19,0,4,19,1,1,0,9,0,30,1
1072,3,60,25,0,4,18,1,1,0,11,1,35,1
1073,3,38,20,0,4,18,1,0,1,11,1,57.5,0
1074,4,36,28,0,4,18,1,0,1,1,1,37.5,1
1075,3.33,60,24,0,4,19,1,0,0,7,1,35,1
1076,3.33,54,25,0,2,19,1,0,0,9,1,30,0
1077,3.67,45,27,0,4,18,1,0,0,3,1,60,1
1078,4,52,21,0,1,18,1,1,0,3,1,57.5,0
1079,4,52,18,0,2,19,1,0,0,7,1,10,0
1080,3,24,19,1,1,19,0,0,1,8,0,37.5,1
1081,3.67,28,21,0,1,17,1,0,0,5,1,35,0
1082,3.33,54,21,1,2,18,1,0,0,4,1,50,1
1083,3,46,24,0,4,18,1,0,0,7,1,60,0
1084,3.67,44,18,0,4,19,1,0,0,9,1,27.5,1
1085,3.67,34,23,1,4,19,1,0,0,8,1,27.5,0
1086,3,35,19,0,1,19,0,0,1,9,1,30,1
1087,3.33,58,19,1,2,18,1,0,1,2,1,30,1
